urn:cts:perslit:ferdousi.shahname:jamid	ferdousi		shahname	"
جمشید"		
urn:cts:perslit:jami.7ourang:7-1.10	jami		7ourang	"
بخش ۱۰"		خرسی از حرص طعمه بر لب رود%بهر ماهی گرفتن آمده بود||ناگه از آب ماهی‌ای برجست%برد حالی به صید ماهی دست||پایش از جای شد، در آب افتاد%پوستین ز آن خطا در آب نهاد||آب بس تیز بود و پهناور%خرس مسکین در آب شد مضطر||دست و پا زد بسی و سود نداشت%عاقبت خویش را به آب گذاشت||از بلا چون به حیله نتوان رست%باید آنجا ز حیله شستن دست||بر سر آب چرخ‌زن می‌رفت%دست شسته ز جان و تن می‌رفت||دو شناور ز دور بر لب آب%بهر کاری همی شدند شتاب||چشمشان ناگهان فتاد بر آن%از تحیر شدند خیره در آن||کن چه چیز است، مرده یا زنده‌ست؟%پوستی از قماش آگنده‌ست؟||آن یکی بر کناره منزل ساخت%و آن دگر خویش را در آب انداخت||آشنا کرد تا به آن برسید%خرس خود مخلصی همی طلبید||در شناور دو دست زد محکم%باز ماند از شنا، شناور هم||اندر آن موج، گشته از جان سیر%گاه بالا همی شد و، گه زیر||یار چون دید حال او ز کنار%بانگ برداشت کای گرامی یار!||گر گران است پوست، بگذارش!%هم بدان موج آب بسپارش!||گفت: «من پوست را گذشته‌ام%دست از پوست بازداشته‌ام»||پوست از من همی ندارد دست%بلکه پشتم به زور پنجه شکست!»||جهد کن جهد، ای برادر! بوک%پوست دانی ز خرس و خیک ز خوک||نبری خرس را ز دور گمان%پوستی پر قماش و رخت گران||نکنی خوک را ز جهل، خیال%خیکی از شهد ناب، مالامال||گر تو گویی: «ستوده نیست بسی%که نهی خرس و خوک نام کسی»||گویم: «آری، ولی بداندیشی%که‌ش نباشد بجز بدی کیشی،||جز بدی و ددی نداند هیچ%مرکب بخردی نراند، هیچ،||خرس یا خوک اگر نهندش نام%باشد آن خرس و خوک را دشنام!»||ای خدا دل گرفت ازین سخن‌ام!%چند بیهود گفت و گوی کنم؟||زین سخن مهر بر زبانم نه!%هر چه مذموم، از آن امانم ده!||از بدی و ددی، مده سازم!%وز بدان و ددان رهان بازم!
urn:cts:perslit:jami.7ourang:7-1.11	jami		7ourang	"
بخش ۱۱ - گفتار در ختم دفتر اول از کتاب سلسلةالذهب"		چون شد این اعتقادنامه درست%باز گردم به کار و بار نخست||کار من عشق و بار من عشق است%حاصل روزگار من عشق است||سر رشته کشیده بود به عشق%دل و جان آرمیده بود به عشق||به سر رشتهٔ خود آیم باز%سخن عاشقی کنم آغاز||آن نه رشته، سلاسل ذهب است%نام رشته بر آن نه از ادب است||این مسلسل سخن که می‌خوانی%هم از آن سلسله‌ست، تا، دانی!||تا نجوشد ز سینه عشق سخن%نتوان داد شرح عشق کهن||می‌زند جوش، عشق‌ام از سینه%تا دهم شرح عشق دیرینه||گر مددگار من شود توفیق%که کنم درس عشق را تحقیق،||بهر آن دفتری ز نو سازم%داستانی دگر بپردازم
urn:cts:perslit:jami.7ourang:7-1.12	jami		7ourang	"
بخش ۱۲ - از دفتر دوم سلسلةالذهب در خلق اسماء باری و پیداش عشق"		بشنو، ای گوش بر فسانهٔ عشق!%از صریر قلم ترانهٔ عشق!||قلم اینک چو نی به لحن صریر%قصهٔ عشق می‌کند تقریر||عشق، مفتاح معدن جودست%هر چه بینی، به عشق موجودست||حق چو حسن کمال اسما دید%آنچنان‌اش نهفته نپسندید||خواست اظهار آن کمال کند%عرض آن حسن و آن جمال کند||خواست تا در مجالی اعیان%سر مستور او رسد به عیان||چون ز حق یافت انبعاث این خواست%فتنهٔ عشق و عاشقی برخاست||هست با نیست، عشق در پیوست%نیست، ز آن عشق، نقش هستی بست||سایه و آفتاب را با هم%نسبت جذب عشق شد محکم
urn:cts:perslit:jami.7ourang:7-1.13	jami		7ourang	"
بخش ۱۳ - تمثیل"		قطره چون آب شد به تابستان%گشت آن آب سوی بحر روان||وز روانی خود به بحر رسید%خویشتن را ورای بحر ندید||هستی خویش را در او گم ساخت%هیچ چیزی به غیر آن نشناخت||گاه او را عیان به صورت موج%دید، هم در حضیض و هم در اوج||متراکم شد آن بخار و، از آن%متکاون شد ابر در نیسان||متقاطر شد ابر و باران گشت%رونق افزای باغ و بستان گشت||قطره‌ها چون به یکدگر پیوست%سیل شد بر رونده راه ببست||سیل هم کف‌زنان، خروش‌کنان%تافت یکسر به سوی بحر، عنان||چون به دریا رسید، کرد آرام%شد درین دوره سیر بحر، تمام||قطره این را چو دید، نتوانست%کردن انکار دیده و، دانست||کوست موج و بخار و سیل و سحاب%اوست کف، اوست قطره، اوست حباب||هیچ جز بحر در جهان نشناخت%عشق با هر چه باخت، با او باخت||از چب و راست چون گشاد نظر%غیر دریا ندید چیز دگر||همچنین عارفان عشق آیین%در جهان نیستند جز حق بین||دیدهٔ جمله مانده بر یک جاست%لیکن اندر نظر تفاوتهاست
urn:cts:perslit:jami.7ourang:7-1.14	jami		7ourang	"
بخش ۱۴ - حکایت آن زن که سی سال در مقام حیرت بر یک جای بماند"		در نواحی مصر شیرزنی%همچو مردان مرد خودشکنی||به چنین دولتی مشرف شد%نقد هستی تمامش از کف شد||شست از آلودگی به کلی دست%نه به شب خفت و، نی به روز نشست||قرب سی سال ماند بر سر پای%که نجنبید چون درخت از جای||خفته مرغش به فرق، فارغبال%گشته مارش به ساق پا خلخال||شست و شو داده موی او باران%شانه کرده صبا چو غمخواران||هیچ گه ز آفتاب عالمتاب%سایه‌بانش نگشته غیر سحاب||لب فروبسته از شراب و طعام%چون فرشته نه چاشت خورده نه شام||همچو مور و ملخ ز هر طرفی%دام و دد گرد او کشیده صفی||او خوش اندر میانه واله و مست%ایستاده به پا، نه نیست، نه هست||چشم او بر جمال شاهد حق%جان به توفان عشق، مستغرق||دل به پروازهای روحانی%گوش بر رازهای پنهانی||زن مگوی‌اش! که در کشاکش درد%یک سر موی او به از صد مرد!||مرد و زن مست نقش پیکر خاک%جان روشن بود از اینها پاک||کردگارا ، مرا ز من برهان!%وز غم مرد و فکر زن، برهان!||مردی‌ای ده! که رادمرد شوم%وز مرید و مراد، فرد شوم||غرقه گردم به موج لجهٔ راز%هرگز از خود نشان نیابم باز
urn:cts:perslit:jami.7ourang:7-1.15	jami		7ourang	"
بخش ۱۵ - قصهٔ عتیبه و ریا"		معتمر نام، مهتری ز عرب%رفت تا روضهٔ نبی یک شب||رو در آن قبلهٔ دعا آورد%ادب بندگی بجا آورد||ناگه آمد به گوشش آوازی%که همی گفت غصه‌پردازی،||کای دل امشب تو را چه اندوه است؟%وین چه بار گران‌تر از کوه است؟||مرغی از طرف باغ ناله کشید%بر تو داغی بسان لاله کشید،||واندرین تیره‌شب ز نالهٔ زار%ساخت از خواب خوش تو را بیدار؟||یا نه، یاری درین شب تاریک%از برون دور و از درون نزدیک||بر تو درهای امتحان بگشود%خوابت از چشم خون‌فشان بر بود،||بست هجرش کمر به کینه تو را%سنگ غم زد بر آبگینه تو را؟||چه شب است این چو زلف یار دراز؟%چشم من ناشده به خواب فراز؟||قیر شب قید پای انجم شد%مهر را راه آمدن گم شد||این نه شب، هست اژدهای سیاه%که کند با هزار دیده نگاه||تا به دم درکشد غریبی را%یا زند زخم بی‌نصیبی را||منم اکنون و جان آزرده%زو دو صد زخم بر جگر خورده||زخم او، جا درون جان دارد%گر کنم ناله، جای آن دارد||کو رفیقی که بشنود رازم؟%واندرین شب شود هم آوازم؟||کو شفیقی که بنگرد حالم%کز جدایی چگونه می‌نالم؟||هرگزم این گمان نبود به خویش%کیدم اینچنین بلایی پیش||ریخت بر سر بلای دهر، مرا%داد ناآزموده زهر، مرا||هر که ناآزموده زهر خورد%چه عجب گر ره اجل سپرد؟||چون بدین جا رساند نالهٔ خویش%کرد با خامشی حوالهٔ خویش||آتش او درین ترانه فسرد%شد خموش آنچنان که گویی مرد||معتمر چون بدید صورت حال%بر ضمیرش نشست گرد ملال||کنهمه نالش از زبان که بود؟%و آنهمه سوزش از فغان که بود؟||چیست این ناله، کیست نالنده؟%باز در خامشی سگالنده؟||آدمی؟ یا نه آدمی‌ست، پری‌ست%کآدمی وار گرد نوحه‌گری‌ست؟||کاش چون خاست از دلش ناله%ناله را رفتمی ز دنباله||تا به نالنده راه یافتمی%پردهٔ راز او شکافتمی||کردمی غور در نظاره‌گری%دست بگشادمی به چاره‌گری||چون بدین حال یک دو لحظه گذشت%حال آن دل‌رمیده باز بگشت||تیز برداشت همچو چنگ آواز%غزلی جانگداز کرد آغاز||غزلی سینه‌سوز و دردآمیز%غزلی صبرکاه و شوق‌انگیز||حرف حرفش همه فسانهٔ درد%نغمهٔ محنت و ترانهٔ درد||اولش نور عشق را مطلع%و آخرش روز وصل را مقطع||در قوافی‌ش شرح سینهٔ تنگ%بحر او رهنما به کام نهنگ||گه در او ذکر یار و منزل او%وصف شیرینی شمایل او||گه در او عجز و خواری عاشق%قصهٔ خاکساری عاشق||گه در او محنت درازی شب%عمر کاهی و جانگدازی شب||گه در او داستان روز فراق%حرقت داغ شوق و سوز فراق||آن بزرگ عرب چو آن بشنید%جانب او شدن غنیمت دید||تا شود واقف از حقیقت راز%رفت آهسته از پی آواز||دید موزون جوانی افتاده%روی زیبا به خاک بنهاده||لعل او غیرت عقیق یمن%شکر مصر را رواج‌شکن||جبهه رخشنده در میان ظلام%همچو پر نور آبگینهٔ شام||بر رخش از دو چشم اشک‌فشان%مانده از رشحهٔ جگر دو نشان||داد بر وی سلام و یافت جواب%کرد بر وی ز روی لطف خطاب||که «بدین رخ که قبلهٔ طلب است%به کدامین قبیله‌ات نسب است؟||بر زبان قبیله نام تو چیست؟%آرزویت کدام و کام تو چیست؟||دلت این گونه بی‌قرار چراست؟%همدمت ناله‌های زار چراست؟||چیست چندین غزل‌سرایی تو؟%وز مژه خون دل گشایی تو؟»||گفت: «از انصار دارم اصل و نژاد%پدرم نام من، عتیبه نهاد||وآنچه از من شنیدی و دیدی%موجب آن ز من بپرسیدی،||بنشین دیر! تا بگویم باز%زآنکه افسانه‌ای‌ست دور و دراز||روزی از روزها به کسب ثواب%رو نهادم به مسجد احزاب||روی در قبلهٔ وفا کردم%حق مسجد که بود ادا کردم||بستم از جان نماز را احرام%کردم اندر مقام صدق قیام||به دعا دست بر فلک بردم%پا به راه اجابت افشردم||عفوجویان شدم به استغفار%از همه کارها و، آخر کار||از میان با کناره پیوستم%به هوای نظاره بنشستم||دیدم از دور یک گروه زنان%سوی آن جلوه گاه، گام‌زنان||نه زنان بل ز آهوان رمه‌ای%هر یکی را ز ناز زمزمه‌ای||از پی رقصشان به ربع و دمن%بانگ خلخال‌ها جلاجلزن||بود یک تن از آن میان ممتاز%پای تا سر همه کرشمه و ناز||او چو مه بود و دیگران انجم%او پری بود و دیگران مردم||پای از آن جمع بر کناره نهاد%بر سرم ایستاد و لب بگشاد||کای عتیبه! دل تو می‌خواهد%وصل آن کز غم تو می‌کاهد؟||هیچ داری سر گرفتاری%کز غمت بر دلش بود باری؟||با من این نکته گفت و زود برفت%در من آتش زد و چون دود برفت||نه نشانی ز نام او دارم%نه وقوف از مقام او دارم||یک زمان هیچ‌جا قرارم نیست%میل خاطر به هیچ کارم نیست||نه ز سر خود خبر مرا، نه ز پای%می‌روم کوبه کوی و جای به جای»||این سخن گفت و زد یکی فریاد%یک زمانی به روی خاک افتاد||بعد دیری به خویش باز آمد%رخ به خون تر، ترانه‌ساز آمد||شد خروشان به دلخراش آواز%غزلی سینه‌سوز کرد آغاز||کای ز من دور رفته صد منزل!%کرده منزل چو جانم اندر دل!||گرچه راه فراق می‌سپری،%سوی خونین‌دلان نمی‌گذری||خواهشم بین، مباش ناخواه‌ام!%کز دو عالم همین تو را خواهم||بی‌تو بر من بلای جان باشد%گرچه فردوس جاودان باشد||چون بزرگ عرب بدید آن حال%به ملامت کشید تیر مقال||کای پسر، زین ره خطا بازآی!%جای گم کرده‌ای، به جا بازآی!||توبه کن از گناهکاری خویش%شرم‌دار از نه شرم‌داری خویش!||نه مبارک بود هوس بر مرد%مردی‌ای کن، ازین هوس برگرد!||گفت کای بی‌خبر ز ماتم عشق!%غافل از جانگدازی غم عشق!||عشق هر جا که بیخ محکم کرد%شاخ از اندوه و میوه از غم کرد||به ملامت نشایدش کندن%به نصیحت ز پایش افگندن||مشک ماند ز بوی و، لعل از رنگ%فلک از جنبش و، زمین ز درنگ،||لیک حاشا که یار دل‌گسلم%رخت بربندد از حریم دلم||حرف مهرش که در دل تنگ است%همچو نقش نشسته در سنگ است||آمد از عشق شیشه بر سنگ‌ام%به ملامت مزن به سر سنگ‌ام!
urn:cts:perslit:jami.7ourang:7-1.16	jami		7ourang	"
بخش ۱۶ - رفتن معتمر و عتیبه به جستجوی ریا"		خسرو صبح چو علم برزد%لشکر شام را به هم برزد||هر دو کردند از آن حرم بشتاب%چاره‌جو رو به مسجد احزاب||تا به پیشین، قدم بیفشردند%در طلب روز را به سربردند||ناگه از ره نسیم یار رسید%آن گروه زن آمدند پدید||لیک مقصود کار همره نی%خیل انجم رسید و آن مه نی||با عتیبه سخن‌گزار شدند%قصه‌پرداز آن نگار شدند||که: «برون برد رخت ازین منزل%راند تا منزل دگر، محمل||روی خورشید قرب، غیم گرفت%راه حی بنی سلیم گرفت||گرچه بار رحیل ازین جا بست%طالب وصل توست هر جا هست||چون سمن تازه و چون گل بویاست%نام او از معطری ریاست»||نام ریا چو آمدش در گوش%از سرش عقل رفت و از دل هوش||پرده از چهرهٔ حیا برداشت%شرم بگذاشت وین نوا برداشت||کای دریغا! که یار محمل بست%بار دل پشت صبر را بشکست||آمدم بر امید دیدارش%تافت از من زمانه رخسارش||معتمر گفت با وی از دل پاک%کای عتیبه، مباش اندهناک!||کنچه دارم از ملک و مال به کف%گرچه اسباب حشمت است و شرف||همه صرف تو می‌کنم امروز%تا شوی بر مراد خود فیروز||دست او را گرفت مشفق‌وار%برد یکسر به مجلس انصار||گفت بعد از سلام با ایشان%کای به ملک صفا وفا کیشان!||این جوان کیست در میان شما؟%چیست در حق او گمان شما؟||همه گفتند: «با جمال نسب%هست شمعی ز دودمان عرب»||گفت کاو را بلایی افتاده‌ست%در کمند هوایی افتاده‌ست||چشم می‌دارم از شما یاری%و از سر مرحمت مددگاری||بهر مطلوبش اختیار سفر%بر دیار بنی‌سلیم گذر||همه سمعا و طاعة گویان%معتمر را به جان رضا جویان||بر نجیب‌اشتران سوار شدند%متوجه بدان دیار شدند||می‌بریدند کوه و صحرا را%پرس پرسان دیار ریا را||تا به منزلگهش پی آوردند%پدرش را از آن خبر کردند||کردشان شاد و خرم استقبال%با کسان گفت تا به استعجال||فرش‌های نفیس افگندند%نطع‌های عجب پراگندند||هر کسی را به جای وی بنشاند%وز ثنا، گوهرش به فرق فشاند||آنچه حاضر ز گله بود و رمه%کشت و پخت و کشید پیش، همه||معتمر گفت کای جمال غرب!%همه کار تو در کمال ادب!||نخورد کس ز سفره و خوانت،%تا ز بحر نوال و احسانت||حاجت جمله را روا نکنی،%آرزوی همه عطا نکنی!||گفت کای روی صدق، روی شما%چیست از بنده آرزوی شما؟||گفت: «هست آنکه گوهر صدفت%اختر برج عزت و شرفت||با عتیبه که فخر انصارست%نیک‌کردار و راست گفتارست،||گوهر سلک اتصال شود%رازدار شب وصال شود»||گفت: «تدبیر کار و بار او راست%واندرین کار، اختیار او راست||با وی این را بگویم از آغاز%آنچه گوید، به مجلس آرم باز»||این سخن گفت و از زمین برخاست%غضب‌آمیز و خشمگین برخاست||چون درآمد به خانه، ریا گفت%کز چه رو خاطرت چنین آشفت؟||گفت: «از آن رو که جمعی از انصار%به هوایت کشیده‌اند قطار||همه یکدل به دوستداری تو%یک‌زبان بهر خواستگاری تو»||گفت: «انصاریان کریمان‌اند%در حریم کرم مقیمان‌اند||از برای چه دوستدار من‌اند؟%وز هوای که خواستگار من‌اند؟»||گفت: «بهر یگانه‌ای ز کرام%عالی اندر نسب، عتیبه به نام»||گفت « من هم شنیده‌ام خبرش%نسبتی نیست با کسی دگرش||چون کند وعده در وفا کو شد%وز جفای زمانه نخروشد»||پدرش گفت: «می‌خورم سوگند%به خدایی که نبودش مانند||که تو را هیچ‌گه به وی ندهم%نقد وصلت به دامنش ننهم||واقفم از فسانهٔ تو و او%وآنچه بوده میانهٔ تو و او»||گفت: «با وی مرا چه بازارست،%که از آن خاطر تو دربارست؟||نه خیالی ز روی من دیده‌ست%نه گیاهی ز باغ من چیده‌ست||لیک چون سبق یافت سوگندت%به اجابت نمی‌کنم بندت||قوم انصار پاک دینان‌اند%در زمان و زمین امینان‌اند||بر مقالاتشان مگردان پشت!%رد ایشان مکن به قول درشت!||مکن از منع، کامشان پر زهر!%گر نمی‌بایدت، گران کن مهر!||نرخ کالا ز حد چون در گذرد%رغبت از جان مشتری ببرد»||گفت: « احسنت ، خوب گفتی، خوب%کم فتد نکته اینچنین مرغوب!»||آنگه آمد برون و با ایشان%گفت کای زمرهٔ وفاکیشان!||کرد ریا قبول این پیوند%لیک او گوهری‌ست بی‌مانند||مهر او، هم به قدر او باید%تا سر او به آن فرو آید||باشد او گوهری جهان‌افروز%کیست قائم به قیمتش امروز؟»||معتمر گفت: «آن منم، اینک!%هر چه خواهی ضمان منم، اینک!»||خواست چندان زر تمام‌عیار%که مثاقیل آن رسد به هزار||بعد از آن نیز ده هزار درم%سیم خالص، نه بیش از آن و نه کم||جامگی صد ز بردهای یمن%صد دیگر از آن فزون به ثمن||نافه‌ها مشک و طلبه‌ها عنبر%عقدهای مرصع از گوهر||معتمر گفت با سه چار نفر%زود کردند بر مدینه گذر||هر چه جستند حاضر آوردند%مجلس عقد منعقد کردند||عقد بستند آن دو مفتون را%شاد کردند آن دو محزون را||بعد چل روز کز نشاط و سرور%حال بگذشتشان بدین دستور||داد اجازت پدر که ریا را%ماه شهر و غزال صحرا را،||به عروسی سوی مدینه برند%وز غریبی ره وطن سپرند||بهر وی خوش عماری‌ای پرداخت%برگ گل را ز غنچه محمل ساخت||با دو صد عز و حشمت و جاهش%کرد سوی مدینه همراهش||هر دو با هم عتیبه و ریا%شاد و خرم شدند ره‌پیما||معتمر با جماعت انصار%تیز بر کار خویش شکرگزار||که دو عاشق به هم رسانیدند%دل و جان‌شان ز غم رهانیدند||همه غافل از آن که آخر کار%بر چه خواهد گرفت کار، قرار||ماند چون با مدینه یک فرسنگ%جمعی از رهزنان بی‌فرهنگ||بر میان تیغ و، در بغل نیزه%وز کمر کرده خنجر آویزه||همه خونین‌لباس و دزدشعار%همه تیغ‌آزمای و نیزه گذار||غافل از گوشه‌ای کمین کردند%رو در آن قوم پاک‌دین کردند||چون عتیبه هجوم ایشان دید%غیرت عاشقی در او پیچید||شد چو شیران در آن مصاف، دلیر%گاه با نیزه، گاه با شمشیر||چند تن را به سینه چاک افگند%چون سگان‌شان به خون و خاک افگند||آخر از زخم تیغ صاعقه‌بار%داد آن قوم را چو دیو فرار||لیک نامقبلی ز کین داری%ضربتی زد به سینه‌اش، کاری||قفس‌آسا، به تن فتادش چاک%مرغ او کرد رو به عالم پاک||دوستان در خروش و گریه، چو میغ%که: «برفت از جهان عتیبه، دریغ!»||گوش ریا چو آن خروش شنید،%موکنان بر سر عتیبه دوید||دید نقش زمین، نگارش را%غرق خون، نازنین شکارش را||گشته از چشمه‌سار سینهٔ تنگ،%خلعت سروش ارغوانی رنگ||دست سیمین، خضاب از آن خون کرد%چهره گلگونه، جامه گلگون کرد||چهر بر خون و خاک می‌مالید%وز دل دردناک می‌نالید||کای عتیبه! تو را چه حال افتاد%کآفتاب تو را زوال افتاد؟||سیرم از عمر، بی‌لقای تو، من%کاشکی بودمی بجای تو، من!||عقل بر عشق من زند خنده%که بمیری تو زار و من زنده||این بگفت و ز جان برآورد آه%رفت با آه، جان او همراه||زندگی بی‌وی از وفا نشمرد%روی با روی او نهاد و بمرد||ترک هجران‌سرای فانی کرد%روی در وصل جاودانی کرد||دوستان از ره وفاداری%برگرفتند نوحه و زاری||لیکن از نوحه، در کشاکش درد%هر چه کردند، هیچ سود نکرد||چون کند طوطی از قفس پرواز%به خروش و فغان نیاید باز||عاقبت لب ز نوحه دربستند%بهر تجهیزشان کمر بستند||دیده از غم پرآب و ، سینه کباب%پاک شستندشان به مشک و گلاب||از حریر و کتان کفن کردند%در یکی قبرشان وطن کردند||در ته خاک غرق خونابه%تا قیامت شدند همخوابه
urn:cts:perslit:jami.7ourang:7-1.17	jami		7ourang	"
بخش ۱۷ - رسیدن معتمر بعد از چندگاه بر سر قبر ایشان"		بعد شش سال، معتمر، یا هفت%به سر روضهٔ نبی می‌رفت||راه عمدا بر آن دیار افگند%بر سر قبرشان گذار افگند||دید بر خاک آن دو انده‌مند%سر کشیده یکی درخت بلند||چون به عبرت نگاه کرد در آن%دید خط‌های سرخ و زرد بر آن||بود زردی ز رویشان اثری%سرخی از چشم خونفشان خبری||با کسی گفت ز آن زمین بشگفت:%«چه درخت‌ست این» به حیرت ؟ گفت||که: «درختی‌ست این سرشتهٔ عشق%رسته از تربت دو کشتهٔ عشق||بلکه بر خاک آن دو تن علمی‌ست%بر وی از شرح حالشان رقمی‌ست||ز اهل دل هر که آن رقم خواند،%حال آن کشتگان غم داند»||جانشان غرق فیض رحمت باد!%کس چو ایشان ازین جهان مرواد!
urn:cts:perslit:jami.7ourang:7-1.18	jami		7ourang	"
بخش ۱۸ - حکایت بر سبیل تمثیل"		زنگی‌ای روی چون در دوزخ%بینی‌ای همچو موری مطبخ||ننمودی به پیش رویش زشت%لاف کافوری ار زدی انگشت||دو لبش طبع‌کوب و دل رنجان%همچو بر روی هم دو بادنجان||دهنش در خیال فرزانه%فرجه‌ای در کدوی پردانه||دید آیینه‌ای به ره، برداشت%بر تماشای خویش دیده گماشت||هر چه از عیب خود معاینه دید%همه را از صفات آینه دید||گفت: «اگر روی بودی‌ات چون من،%صد کرامت فزودی‌ات چون من||خواری تو ز بدسرشتی توست!%بر ره افگندنت ز زشتی توست!»||اگرش چشم تیزبین بودی%گفت و گویش نه اینچنین بودی||عیب‌ها را همه ز خود دیدی%طعن آیینه کم پسندیدی||مرد دانا به هر چه درنگرد%عیب بگذارد و هنر نگرد
urn:cts:perslit:jami.7ourang:7-1.19	jami		7ourang	"
بخش ۱۹ - در ختم دفتر دوم سلسله الذهب"		بود در دل چنان، که این دفتر%نبود از نصف اولین کمتر||لیک خامه از جنبش پیوست%چون بدین جا رسید سر بشکست||چرخ اگر باز بگذرد ز ستیز%سازدم گزلک عزیمت تیز،||دهم از سر، تراش آن خامه%برسانم به مقطع، این نامه||ورنه آن را که خاطر صافی‌ست%اینقدر هم که گفته شد کافی‌ست||هم برین حرف، این خجسته کلام%ختم شد، والسلام والاکرام!
